SNO,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,PH_DETAILS,EC_DETAILS,OC_DETAILS,AVN_DETAILS,PHOS_DETAILS,POT_DETAILS,SULPHUR,ZINC_DETAILS,BORON_DETAILS,IRON_DETAILS,MANGAN_DETAILS,COPPER_DETAILS
OOT204,400,477,810,828,1351,2641,2989,3092,3179,3261,2556,1570,4.45,1.28,0.41564,111,45,100.1,0.001,1.9823,0.001,2.17638,0.01,0.3878
OOT205,202,489,839,1011,1438,2359,2683,2900,2930,2664,2727,1845,5.14,0.29,0.1583,560,15,95,0.001,2.58621,0.001,0.05457,0.01,1.20772
OOT207,362,439,779,879,1378,2350,2664,2807,2971,2779,2724,1751,6.47,0.14,0.2516,560,45,35,0.001,0.288586,0.001,0.00321,0.01,2.0221
OOT208,221,292,536,467,971,2323,2753,2863,2978,3002,1845,1083,6.15,0.11,0.8567,560,45,49,0.001,2.2589,0.001,0.00321,0.01,2.7423
OOT209,362,436,722,837,1263,2180,2497,2632,2790,2921,2531,1656,5.82,0.14,0.3248,560,36,117,0.001,23.7876,0.001,0.08025,6.3,3.047
OOT210,174,243,531,467,1033,2467,2906,3031,3157,3291,2012,1131,6.27,0.43,1.0232,560,98,235,0.001,2.56316,0.001,0.15087,0.01,0.64264
OOT211,138,221,508,384,957,2404,2847,2988,3094,3304,1929,1061,5.4,0.3,0.2349,560,45,351,0.001,3.9646,0.001,0.40125,5,0.554
OOT212,138,315,576,565,1041,2150,2543,2790,2881,2407,2305,1371,5.7,0.107,0.164,321,46,257,0.001,4.4717,0.001,1.19412,0.01,0.6648
OOT213,130,189,466,435,955,2304,2714,2838,2949,3001,2014,1115,4.74,0.11,0.2318,560,85,238,0.001,3.49899,0.001,3.68187,7.3,3.11625
OOT214,123,214,558,460,1116,2678,3156,3294,3419,3271,2065,1152,4.93,0.11,0.9764,560,23,53.25,0.001,3.06565,0.001,1.84575,5.7,2.9362
OOT215,289,374,762,797,1336,2740,3128,3186,3259,2923,2265,1435,5.42,0.16,0.2816,560,11,493.7,0.001,1.9362,0.001,2.06082,0.01,0.3878
OOT216,523,604,865,993,1332,2037,2274,2366,2459,2709,2439,1893,7.19,0.14,1.0153,560,206,840.5,0.001,2.1206,0.001,3.12012,0.01,2.493
OOT218,379,369,624,673,1138,2222,2553,2751,2834,2770,2352,1427,5.09,0.149,0.0205,11,147,76.9,0.001,2.8121,0.001,1.67241,0.01,1.0249
OOT219,368,540,951,1146,1581,2708,3059,3239,3229,2862,2842,1919,5.52,0.09,0.8767,560,325,92,0.001,1.9823,0.001,3.71076,0.01,4.2381
OOT220,248,455,782,937,1333,2243,2570,2732,2736,2899,2482,1693,5.51,0.14,0.0003,231,500,34.1,16.1,13.1846,0.001,5.85504,0.01,0.9695
OOT221,2342,1543,1642,1505,1941,2780,2969,2977,3078,6373,2451,1848,5.55,0.38,0.464,47,432,1572,0.001,0.5532,0.001,1.27437,0.01,0.8033
OOT222,273,377,750,839,1363,2586,2960,3216,3227,3099,2607,1592,4.33,0.39,0.0003,71,437,1834,0.001,0.6915,0.001,3.03987,0.01,3.88354
OOT224,264,252,544,457,1055,2489,2915,3131,3177,2921,1979,1074,6.01,0.51,0.6217,416,333.5,1245,0.001,5.2554,0.001,3.61446,0.01,1.9113
OOT225,4491,4513,4383,4210,4646,4880,4931,4945,5003,8188,4628,3824,5.37,0.5,0.46479,123,108,1243,0.001,2.3972,0.001,3.36087,0.01,1.0249
OOT226,1638,1623,1773,1702,2251,3318,3746,3840,3986,4982,3152,2140,7.18,0.42,0.564,231,26.4,100.1,0.001,3.0887,0.001,3.38655,0.01,0.3878
OOT227,464,634,932,1103,1497,2294,2609,2731,2785,2880,2718,1893,7.51,0.14,0.0003,246,321.9,3,0.001,1.9823,0.001,3.81027,0.01,1.75064
OOT228,537,544,851,1053,1530,2699,3092,3178,3266,3095,2819,1849,7.31,0.21,0.0003,234,227,0.2,0.001,1.9362,0.001,8.0892,0.01,1.98055
OOT229,256,255,558,557,1086,2350,2714,2851,2973,3037,2269,1316,5.26,0.19,0.2343,560,248,567.2,0.001,6.7306,0.001,1.03041,5.3,1.2742
OOT230,354,522,910,1082,1553,2480,2754,2842,2932,2968,2771,1864,6.31,0.14,0.0003,321,91.5,104.8,0.001,7.4682,0.001,2.2791,0.01,1.5512
OOT231,282,227,518,479,986,2177,2516,2631,2725,3055,1909,1093,5.94,0.09,0.0355,560,68.2,25.16,0.001,8.5285,0.001,1.51833,0.01,0.01108
OOT232,282,227,518,479,986,2177,2516,2631,2725,3055,1909,1093,5.07,0.17,1.0232,560,53,35.1,0.001,2.1206,0.001,2.19885,0.01,0
OOT233,211,584,875,1047,1432,2254,2556,2743,2767,2989,2763,2037,6.57,0.15,0.0092,5,55,23.6,15.1,0.7837,0.001,3.12975,0.01,2.36558
OOT234,620,814,1071,1289,1664,2373,2655,2724,2783,2794,2781,2210,6.61,0.13,0.0003,314,928,3,0.001,11.7094,0.001,3.24531,0.01,1.75064
OOT235,1018,554,740,776,1042,1500,1675,1564,1763,3820,1036,834,5.86,0.04,1.2356,560,253,141.5,0.001,2.4894,0.001,3.56631,6.4,0.13573
OOT237,282,227,518,479,986,2177,2516,2631,2725,3055,1909,1093,6.39,0.09,0.5674,560,22.8,136.7,0.001,2.9504,0.001,0.40767,0.01,0.61494
OOT238,256,255,558,557,1086,2350,2714,2851,2973,3037,2269,1316,6.3,0.066,0.0363,234,273,78.4,0.001,3.9646,0.001,1.04967,0.01,1.7174
OOT239,256,255,558,557,1086,2350,2714,2851,2973,3037,2269,1316,5.31,0.19,1.2342,560,151,533,0.001,4.2412,0.001,0.08025,6.1,0.33517
OOT240,313,506,828,979,1398,2286,2596,2747,2765,2871,2587,1778,7.47,0.27,0.0003,313,26.2,100.1,0.001,4.149,0.001,0.00321,0.01,0.08864
OOT242,186,303,631,573,1168,2666,3115,3211,3383,3180,2268,1290,7.58,0.17,0.7654,560,208,226.3,0.001,2.1206,0.001,0.16371,5.3,1.7174
OOT243,170,368,695,770,1293,2394,2764,2984,3057,2832,2606,1658,5.83,0.09,0.464,131,406,857.2,0.001,1.5674,0.001,0.20544,0.01,1.8559
OOT244,170,368,695,770,1293,2394,2764,2984,3057,2832,2606,1658,5.74,0.15,0.4649,466,130,324,0.001,2.8121,0.001,0.40125,0.01,0.6648
OOT245,170,368,695,770,1293,2394,2764,2984,3057,2832,2606,1658,5.21,0.06,0.4646,331,602,324,0.001,2.3511,0.001,0.74151,0.01,0
OOT246,170,368,695,770,1293,2394,2764,2984,3057,2832,2606,1658,4.42,0.16,0.4564,311,23.6,159,0.001,1.2447,0.001,0.46545,0.01,1.75064
OOT247,283,427,768,976,1410,2298,2618,2818,2858,3014,2712,1828,6.14,0.09,0.464,466,32.7,123,0.001,1.7518,0.001,0.08025,0.01,2.2991
OOT248,307,356,620,657,1156,2181,2492,2603,2765,2899,2387,1452,6.65,0.15,0.0003,375,47.5,741,0.001,2.5816,0.001,0.06099,0.01,1.80604
